Year,Commodity,Price
2003/04,Tobacco,
 86/88,Potato,4.75
87/88,Potato,4.47
88/89,Potato,4.68
89/90,Potato,5.69
90/91,Potato,5.67
91/92,Potato,6.28
92/93,Potato,6.15
93/94,Potato,7.2
94/95,Potato,8.16
95/96,Potato,10.02
96/97,Potato,10.69
97/98,Potato,8.62
98/99,Potato,14.55
99/00,Potato,12.27
2000/01,Potato,10.89
2001/02,Potato,13.31
2002/03,Potato,12.68
2003/04,Potato,8.77
 86/88,Onion,5.92
87/88,Onion,8.73
88/89,Onion,7.92
89/90,Onion,8.28
90/91,Onion,10.68
91/92,Onion,9.52
92/93,Onion,9.16
93/94,Onion,13.4
94/95,Onion,12.93
95/96,Onion,14.87
96/97,Onion,13.67
97/98,Onion,18.01
98/99,Onion,32.06
99/00,Onion,22.54
2000/01,Onion,20.03
2001/02,Onion,20.31
2002/03,Onion,18.38
2003/04,Onion,16.27
 86/88,Tomato,8.43
87/88,Tomato,10.97
88/89,Tomato,10.5
89/90,Tomato,11.61
90/91,Tomato,12.5
91/92,Tomato,14.25
92/93,Tomato,14.56
93/94,Tomato,16.81
94/95,Tomato,18.74
95/96,Tomato,22.02
96/97,Tomato,22.23
97/98,Tomato,21
98/99,Tomato,28.59
99/00,Tomato,24.89
2000/01,Tomato,25.13
2001/02,Tomato,25.32
2002/03,Tomato,24.49
2003/04,Tomato,25.9
 86/88,Radish,3.39
87/88,Radish,3.97
88/89,Radish,3.92
89/90,Radish,4.61
90/91,Radish,4.59
91/92,Radish,4.45
92/93,Radish,4.74
93/94,Radish,0
94/95,Radish,0
95/96,Radish,0
96/97,Radish,0
97/98,Radish,0
98/99,Radish,
99/00,Radish,
2000/01,Radish,
2001/02,Radish,
2002/03,Radish,
2003/04,Radish,
 86/88,Ginger,8.11
87/88,Ginger,13.46
88/89,Ginger,17.22
89/90,Ginger,15.55
90/91,Ginger,15.27
91/92,Ginger,15.3
92/93,Ginger,16.28
93/94,Ginger,21.86
94/95,Ginger,28.72
95/96,Ginger,30.63
96/97,Ginger,24.61
97/98,Ginger,21.99
98/99,Ginger,28.24
99/00,Ginger,41.25
2000/01,Ginger,31.37
2001/02,Ginger,25.21
2002/03,Ginger,28.54
2003/04,Ginger,
 86/88,Chilli Dry,27.99
87/88,Chilli Dry,30.46
88/89,Chilli Dry,49.42
89/90,Chilli Dry,48.16
90/91,Chilli Dry,41.07
91/92,Chilli Dry,71.1
92/93,Chilli Dry,81.32
93/94,Chilli Dry,53.95
94/95,Chilli Dry,62.32
95/96,Chilli Dry,90.43
96/97,Chilli Dry,99.05
97/98,Chilli Dry,87.11
98/99,Chilli Dry,104.54
99/00,Chilli Dry,110.14
2000/01,Chilli Dry,103.51
2001/02,Chilli Dry,101.08
2002/03,Chilli Dry,106.67
2003/04,Chilli Dry,
