Year AD,Year BS,Commodity,Production In 1000 dollars,Production – MT
2001,2058,"Meat indigenous, goat",91113,38026.0
2001,2058,"Meat indigenous, pig",24045,15641.0
2001,2058,"Milk, whole fresh buffalo",311675,781394.0
2001,2058,"Milk, whole fresh cow",106955,342738.0
2001,2058,Millet,50386,282852.0
2001,2058,Mustard seed,53494,132331.0
2001,2058,Oilseeds nes,42669,136969.0
2001,2058,Potatoes,199958,1313717.0
2001,2058,"Rice, paddy",1112798,4164687.0
2001,2058,Sugar cane,68722,2211781.0
2001,2058,"Tangerines, mandarins, clementines, satsumas",22133,89600.0
2001,2058,"Vegetables, fresh nes",311489,1652979.0
2001,2058,Wheat,171912,1157865.0
2000,2057,"Fruit, fresh nes",156135,447334.0
2000,2057,Ginger,50788,74994.0
2000,2057,Lentils,52819,137343.0
2000,2057,Maize,157699,1414850.0
2000,2057,"Mangoes, mangosteens, guavas",71301,119000.0
2000,2057,"Meat indigenous, buffalo",327846,121797.0
2000,2057,"Meat indigenous, cattle",128287,47490.0
2000,2057,"Meat indigenous, goat",88872,37090.0
2000,2057,"Meat indigenous, pig",22964,14938.0
2000,2057,"Milk, whole fresh buffalo",302970,759568.0
2000,2057,"Milk, whole fresh cow",105307,337455.0
2000,2057,Millet,48034,269925.0
2000,2057,Mustard seed,49560,122751.0
2000,2057,Oilseeds nes,38239,122751.0
2000,2057,Potatoes,178823,1182500.0
2000,2057,"Rice, paddy",1125406,4216465.0
2000,2057,"Roots and tubers, nes",21631,126487.0
2000,2057,Sugar cane,65168,2103426.0
2000,2057,"Vegetables, fresh nes",280713,1489660.0
2000,2057,Wheat,175983,1183530.0
1999,2056,"Fruit, fresh nes",159680,457490.0
1999,2056,Ginger,55397,81799.0
1999,2056,Lentils,51170,132290.0
1999,2056,Maize,149874,1345910.0
1999,2056,"Mangoes, mangosteens, guavas",72979,121800.0
1999,2056,"Meat indigenous, buffalo",321765,119538.0
1999,2056,"Meat indigenous, cattle",134678,49855.0
1999,2056,"Meat indigenous, goat",86012,35897.0
1999,2056,"Meat indigenous, pig",22527,14654.0
1999,2056,"Milk, whole fresh buffalo",296770,744025.0
1999,2056,"Milk, whole fresh cow",102643,328920.0
1999,2056,Millet,51912,291370.0
1999,2056,Mustard seed,48317,119731.0
1999,2056,Oilseeds nes,37299,119731.0
1999,2056,Potatoes,164253,1091218.0
1999,2056,"Rice, paddy",1021016,3834290.0
1999,2056,"Roots and tubers, nes",19961,116723.0
1999,2056,Sugar cane,60926,1971646.0
1999,2056,"Vegetables, fresh nes",252995,1342567.0
1999,2056,Wheat,160565,1086480.0
1998,2055,"Fruit, fresh nes",144907,415167.0
1998,2055,Ginger,55263,81601.0
1998,2055,Lentils,43704,113520.0
1998,2055,Maize,152690,1367330.0
1998,2055,"Mangoes, mangosteens, guavas",68125,113700.0
1998,2055,"Meat indigenous, buffalo",315896,117358.0
1998,2055,"Meat indigenous, cattle",128638,47620.0
1998,2055,"Meat indigenous, goat",85541,35700.0
1998,2055,"Meat indigenous, pig",20718,13477.0
1998,2055,"Milk, whole fresh buffalo",290921,729360.0
1998,2055,"Milk, whole fresh cow",99448,318680.0
1998,2055,"Milk, whole fresh goat",19296,57500.0
1998,2055,Millet,50778,285130.0
1998,2055,Mustard seed,44417,110226.0
1998,2055,Oilseeds nes,34037,109260.0
1998,2055,Potatoes,138162,934880.0
1998,2055,"Rice, paddy",985836,3699770.0
1998,2055,Sugar cane,52860,1717550.0
1998,2055,"Vegetables, fresh nes",266476,1414110.0
1998,2055,Wheat,147012,1000770.0
1997,2054,"Fruit, fresh nes",149467,428230.0
1997,2054,Ginger,45341,66950.0
1997,2054,Lentils,48223,124420.0
1997,2054,Maize,146984,1316840.0
1997,2054,"Mangoes, mangosteens, guavas",62913,105000.0
1997,2054,"Meat indigenous, buffalo",305477,113487.0
1997,2054,"Meat indigenous, cattle",130354,48255.0
1997,2054,"Meat indigenous, goat",83098,34681.0
1997,2054,"Meat indigenous, pig",19678,12801.0
1997,2054,"Milk, whole fresh buffalo",279999,701980.0
1997,2054,"Milk, whole fresh cow",96796,310183.0
1997,2054,"Milk, whole fresh goat",18792,56000.0
1997,2054,Millet,50216,282000.0
1997,2054,Mustard seed,48173,119250.0
1997,2054,Oilseeds nes,37114,119140.0
1997,2054,Potatoes,149743,997000.0
1997,2054,"Rice, paddy",971281,3640860.0
1997,2054,Sugar cane,50291,1629300.0
1997,2054,"Vegetables, fresh nes",255796,1357435.0
1997,2054,Wheat,157935,1072000.0
1996,2053,"Fruit, fresh nes",128267,367490.0
1996,2053,Ginger,40634,60000.0
1996,2053,Lentils,45499,117720.0
1996,2053,Maize,148585,1331060.0
1996,2053,"Mangoes, mangosteens, guavas",58718,98000.0
1996,2053,"Meat indigenous, buffalo",282229,104850.0
1996,2053,"Meat indigenous, cattle",132452,49031.0
1996,2053,"Meat indigenous, goat",77245,32238.0
1996,2053,"Meat indigenous, pig",18619,12112.0
1996,2053,"Milk, whole fresh buffalo",265225,664940.0
1996,2053,"Milk, whole fresh cow",92564,296620.0
1996,2053,"Milk, whole fresh goat",18457,55000.0
1996,2053,Millet,50305,282440.0
1996,2053,Mustard seed,46823,115990.0
1996,2053,Oilseeds nes,36143,116020.0
1996,2053,Potatoes,136434,898350.0
1996,2053,"Rice, paddy",989574,3710650.0
1996,2053,Sugar cane,48481,1568700.0
1996,2053,"Vegetables, fresh nes",250116,1327290.0
1996,2053,Wheat,148894,1012930.0
1995,2052,"Fruit, fresh nes",197204,565000.0
1995,2052,Ginger,37248,55000.0
1995,2052,Lentils,38294,99776.0
1995,2052,Maize,145334,1302120.0
1995,2052,"Mangoes, mangosteens, guavas",83883,140000.0
1995,2052,"Meat indigenous, buffalo",280075,104050.0
1995,2052,"Meat indigenous, cattle",132131,48912.0
1995,2052,"Meat indigenous, goat",74573,31123.0
1995,2052,"Milk, whole fresh buffalo",260284,652551.0
1995,2052,"Milk, whole fresh cow",90130,288822.0
1995,2052,Millet,44935,252843.0
1995,2052,Mustard seed,46942,116300.0
1995,2052,Oilseeds nes,31800,102080.0
1995,2052,Potatoes,126405,838932.0
1995,2052,"Rice, paddy",953575,3578830.0
1995,2052,"Roots and tubers, nes",18811,110000.0
1995,2052,Sugar cane,46312,1500000.0
1995,2052,"Tangerines, mandarins, clementines, satsumas",19268,78000.0
1995,2052,"Vegetables, fresh nes",236842,1256850.0
1995,2052,Wheat,133625,914000.0
1994,2051,"Fruit, fresh nes",186733,535000.0
1994,2051,Ginger,31763,46901.0
1994,2051,Lentils,42127,109162.0
1994,2051,Maize,142087,1273000.0
1994,2051,"Mangoes, mangosteens, guavas",92590,154532.0
1994,2051,"Meat indigenous, buffalo",270250,100400.0
1994,2051,"Meat indigenous, cattle",130598,48345.0
1994,2051,"Meat indigenous, goat",74790,31213.0
1994,2051,"Milk, whole fresh buffalo",255494,640544.0
1994,2051,"Milk, whole fresh cow",86773,278065.0
1994,2051,Millet,47597,267520.0
1994,2051,Mustard seed,43342,107535.0
1994,2051,Oilseeds nes,33499,107535.0
1994,2051,Potatoes,117626,784913.0
1994,2051,"Pulses, nes",24778,46140.0
1994,2051,"Rice, paddy",769844,2906180.0
1994,2051,"Roots and tubers, nes",20521,120000.0
1994,2051,Sugar cane,44252,1431000.0
1994,2051,"Vegetables, fresh nes",225564,1197000.0
1994,2051,Wheat,131447,898892.0
1993,2050,"Fruit, fresh nes",181323,519500.0
1993,2050,Ginger,33862,50000.0
1993,2050,Lentils,40019,105000.0
1993,2050,Maize,134936,1210000.0
1993,2050,"Mangoes, mangosteens, guavas",89908,150055.0
1993,2050,"Meat indigenous, buffalo",259908,96558.0
1993,2050,"Meat indigenous, cattle",117151,43367.0
1993,2050,"Meat indigenous, goat",73680,30750.0
1993,2050,"Milk, whole fresh buffalo",245628,615808.0
1993,2050,"Milk, whole fresh cow",81381,260786.0
1993,2050,Millet,48885,274420.0
1993,2050,Mustard seed,37695,93690.0
1993,2050,Oilseeds nes,29186,93690.0
1993,2050,Potatoes,109421,733300.0
1993,2050,"Pulses, nes",21883,41920.0
1993,2050,"Rice, paddy",932186,3495590.0
1993,2050,"Roots and tubers, nes",22231,130000.0
1993,2050,Sugar cane,42205,1365870.0
1993,2050,"Vegetables, fresh nes",225564,1197000.0
1993,2050,Wheat,110589,765000.0
1992,2049,"Fruit, fresh nes",175215,502000.0
1992,2049,Ginger,30476,45000.0
1992,2049,Lentils,27837,72960.0
1992,2049,Maize,144059,1290500.0
1992,2049,"Mangoes, mangosteens, guavas",86879,145000.0
1992,2049,"Meat indigenous, buffalo",258449,96016.0
1992,2049,"Meat indigenous, cattle",116628,43174.0
1992,2049,"Meat indigenous, goat",71904,30009.0
1992,2049,"Milk, whole fresh buffalo",244111,612004.0
1992,2049,"Milk, whole fresh cow",80896,259230.0
1992,2049,Millet,42035,236750.0
1992,2049,Mustard seed,35304,87840.0
1992,2049,Oilseeds nes,27364,87840.0
1992,2049,Potatoes,109296,732860.0
1992,2049,"Pulses, nes",22173,42270.0
1992,2049,"Rice, paddy",682913,2584900.0
1992,2049,"Roots and tubers, nes",24113,141000.0
1992,2049,Sugar cane,39887,1291340.0
1992,2049,"Vegetables, fresh nes",212561,1128000.0
1992,2049,Wheat,110732,761960.0
1991,2048,"Fruit, fresh nes",175341,502360.0
1991,2048,Ginger,27089,40000.0
1991,2048,Lentils,27866,73020.0
1991,2048,Maize,134372,1204710.0
1991,2048,"Mangoes, mangosteens, guavas",83883,140000.0
1991,2048,"Meat indigenous, buffalo",256508,95295.0
1991,2048,"Meat indigenous, cattle",116234,43028.0
1991,2048,"Meat indigenous, goat",73417,30641.0
1991,2048,"Milk, whole fresh buffalo",242686,608433.0
1991,2048,"Milk, whole fresh cow",80012,256398.0
1991,2048,Millet,40758,228660.0
1991,2048,Mustard seed,37142,92140.0
1991,2048,Oilseeds nes,28703,92140.0
1991,2048,Potatoes,110341,738030.0
1991,2048,"Pulses, nes",24737,46840.0
1991,2048,"Rice, paddy",858576,3222540.0
1991,2048,"Roots and tubers, nes",24113,141000.0
1991,2048,Sugar cane,33860,1105960.0
1991,2048,"Vegetables, fresh nes",182825,970200.0
1991,2048,Wheat,122022,835970.0
1990,2047,Ginger,20317,30000.0
1990,2047,Lentils,29145,76250.0
1990,2047,Maize,137343,1230950.0
1990,2047,"Mangoes, mangosteens, guavas",80888,135000.0
1990,2047,"Meat indigenous, buffalo",255578,94949.0
1990,2047,"Meat indigenous, cattle",107390,39754.0
1990,2047,"Meat indigenous, goat",72108,30094.0
1990,2047,"Milk, whole fresh buffalo",240608,603223.0
1990,2047,"Milk, whole fresh cow",79745,255543.0
